,FromNodeId,ToNodeId
0,84424,276
1,84424,1662
2,84424,5089
3,84424,6058
4,84424,6229
5,84424,10639
6,84424,16442
7,84424,19325
8,84424,19834
9,84424,20113
10,84424,21937
11,84424,25452
12,84424,26902
13,84424,29829
14,84424,30222
15,84424,32432
16,84424,33040
17,84424,39238
18,84424,39521
19,84424,41418
20,84424,45009
21,84424,45098
22,84424,45242
23,84424,47005
24,84424,47968
25,84424,47999
26,84424,49934
27,84424,50220
28,84424,50897
29,84424,51730
30,84424,53681
31,84424,57537
32,84424,58458
33,84424,59326
34,84424,61571
35,84424,63552
36,84424,64124
37,84424,64568
38,84424,66200
39,84424,69839
40,84424,72391
41,84424,73543
42,84424,76259
43,84424,77098
44,84424,77915
45,84424,78627
46,84424,83560
47,84424,85420
48,84424,88768
49,84424,89131
50,84424,89308
51,84424,89994
52,84424,90506
53,84424,91060
54,84424,92387
55,84424,93296
56,84424,94138
57,84424,94329
58,84424,95070
59,84424,95531
60,84424,96570
61,84424,97101
62,84424,98506
63,84424,99104
64,84424,104802
65,84424,106611
66,84424,107829
67,84424,109016
68,84424,112605
69,84424,117751
70,84424,122908
71,84424,124023
72,84424,125190
73,84424,130825
74,84424,132445
75,89308,560
76,89308,15829
77,89308,42972
78,89308,55528
79,89308,57618
80,89308,60310
81,89308,63707
82,89308,63769
83,89308,68320
84,89308,73543
85,89308,75607
86,89308,84424
87,89308,92552
88,89308,93762
89,89308,93889
90,89308,94138
91,89308,95860
92,89308,96909
93,89308,99870
94,89308,112293
95,89308,113138
96,89308,116343
97,89308,116453
98,89308,118859
99,89308,121831
100,89308,122003
101,89308,123268
102,89308,125345
103,89308,127886
104,89308,129530
105,89308,129910
106,89308,132104
107,94138,2175
108,94138,3365
109,94138,4279
110,94138,4930
111,94138,5335
112,94138,8445
113,94138,9039
114,94138,10976
115,94138,11050
116,94138,11580
117,94138,19204
118,94138,21937
119,94138,23986
120,94138,24075
121,94138,26526
122,94138,28516
123,94138,28787
124,94138,31404
125,94138,33777
126,94138,34608
127,94138,35729
128,94138,36907
129,94138,37861
130,94138,38921
131,94138,42512
132,94138,42994
133,94138,44011
134,94138,46847
135,94138,47856
136,94138,50991
137,94138,52870
138,94138,53890
139,94138,55233
140,94138,56117
141,94138,58532
142,94138,59151
143,94138,59173
144,94138,60390
145,94138,61461
146,94138,61472
147,94138,61571
148,94138,61686
149,94138,61929
150,94138,62496
151,94138,64054
152,94138,64124
153,94138,65114
154,94138,65794
155,94138,66766
156,94138,68639
157,94138,69582
158,94138,70618
159,94138,72233
160,94138,72941
161,94138,73543
162,94138,74612
163,94138,77580
164,94138,79936
165,94138,83003
166,94138,84150
167,94138,84424
168,94138,87214
169,94138,87237
170,94138,89308
171,94138,89994
172,94138,92504
173,94138,94235
174,94138,95822
175,94138,101953
176,94138,104802
177,94138,105827
178,94138,109016
179,94138,110499
180,94138,112243
181,94138,115344
182,94138,118103
183,94138,118630
184,94138,118958
185,94138,120454
186,94138,126152
187,94138,130165
188,63225,2969
189,63225,8744
190,63225,19113
191,63225,20188
192,63225,23579
193,63225,26065
194,63225,27281
195,63225,30400
196,63225,30864
197,63225,39902
198,63225,42077
199,63225,49633
200,63225,57772
201,63225,59444
202,63225,65213
203,63225,69459
204,63225,99504
205,63225,104589
206,63225,106833
207,63225,110210
208,63225,113335
209,63225,118286
210,63225,120586
211,63225,121399
212,63225,121988
213,63225,122460
214,63225,127393
215,127393,4526
216,127393,15406
217,127393,17485
218,127393,22055
219,127393,25095
220,127393,26713
221,127393,29421
222,127393,31334
223,127393,38861
224,127393,39298
225,127393,39902
226,127393,40400
227,127393,43227
228,127393,45858
229,127393,49934
230,127393,51604
231,127393,51631
232,127393,52480
233,127393,55508
234,127393,57772
235,127393,61571
236,127393,63225
237,127393,65713
238,127393,66511
239,127393,67988
240,127393,68577
241,127393,68629
242,127393,69935
243,127393,70637
244,127393,71296
245,127393,71722
246,127393,78060
247,127393,78070
248,127393,79077
249,127393,86411
250,127393,91401
251,127393,92357
252,127393,93661
253,127393,98621
254,127393,100099
255,127393,102617
256,127393,106954
257,127393,107534
258,127393,107797
259,127393,107933
260,127393,110210
261,127393,112779
262,127393,112903
263,127393,115420
264,127393,117953
265,127393,121399
266,127393,123695
267,127393,124913
268,127393,131639
269,127393,132766
270,106274,811
271,106274,1086
272,106274,2158
273,106274,3335
274,106274,4239
275,106274,5099
276,106274,5866
277,106274,5959
278,106274,6358
279,106274,6540
280,106274,7026
281,106274,8381
282,106274,8583
283,106274,8833
284,106274,10426
285,106274,10976
286,106274,12203
287,106274,13219
288,106274,14651
289,106274,14859
290,106274,15223
291,106274,16043
292,106274,16400
293,106274,16434
294,106274,17549
295,106274,17756
296,106274,18007
297,106274,18344
298,106274,19383
299,106274,20296
300,106274,21192
301,106274,21718
302,106274,21728
303,106274,21729
304,106274,22070
305,106274,23986
306,106274,27862
307,106274,28128
308,106274,28210
309,106274,28516
310,106274,29606
311,106274,30422
312,106274,30502
313,106274,30625
314,106274,32432
315,106274,32595
316,106274,33659
317,106274,34945
318,106274,35290
319,106274,35302
320,106274,35638
321,106274,36814
322,106274,36907
323,106274,37179
324,106274,38109
325,106274,38898
326,106274,38921
327,106274,38966
328,106274,39696
329,106274,40649
330,106274,40745
331,106274,41473
332,106274,42366
333,106274,42551
334,106274,43850
335,106274,44022
336,106274,44183
337,106274,44237
338,106274,46847
339,106274,47128
340,106274,47856
341,106274,48423
342,106274,49689
343,106274,51306
344,106274,51587
345,106274,51588
346,106274,52412
347,106274,52682
348,106274,53056
349,106274,53213
350,106274,55066
351,106274,55085
352,106274,55999
353,106274,56361
354,106274,57961
355,106274,60088
356,106274,60471
357,106274,61892
358,106274,62459
359,106274,64054
360,106274,66006
361,106274,67410
362,106274,67670
363,106274,67716
364,106274,68363
365,106274,69493
366,106274,69582
367,106274,70950
368,106274,71801
369,106274,72114
370,106274,72380
371,106274,74225
372,106274,74361
373,106274,75690
374,106274,76706
375,106274,76749
376,106274,76854
377,106274,77019
378,106274,77152
379,106274,77208
380,106274,79379
381,106274,80218
382,106274,80782
383,106274,82347
384,106274,82704
385,106274,84122
386,106274,86202
387,106274,86721
388,106274,87325
389,106274,88348
390,106274,89588
391,106274,89969
392,106274,93101
393,106274,93271
394,106274,94235
395,106274,94560
396,106274,95036
397,106274,95261
398,106274,95911
399,106274,96786
400,106274,97012
401,106274,99023
402,106274,99239
403,106274,100394
404,106274,100461
405,106274,100717
406,106274,102653
407,106274,103169
408,106274,104241
409,106274,104802
410,106274,105680
411,106274,106763
412,106274,107846
413,106274,108722
414,106274,109056
415,106274,111385
416,106274,111660
417,106274,111709
418,106274,112157
419,106274,112695
420,106274,112848
421,106274,113138
422,106274,113726
423,106274,113825
424,106274,114249
425,106274,115209
426,106274,115281
427,106274,115607
428,106274,115700
429,106274,116194
430,106274,116337
431,106274,118896
432,106274,119042
433,106274,119664
434,106274,120199
435,106274,120618
436,106274,121461
437,106274,122425
438,106274,122495
439,106274,123233
440,106274,125226
441,106274,125267
442,106274,125557
443,106274,125678
444,106274,125766
445,106274,125774
446,106274,126948
447,106274,127225
448,106274,127274
449,106274,127816
450,106274,129273
451,106274,129410
452,106274,129483
453,106274,131234
454,106274,131592
455,60471,1086
456,60471,1513
457,60471,4851
458,60471,4893
459,60471,5866
460,60471,5959
461,60471,6256
462,60471,6358
463,60471,6540
464,60471,7026
465,60471,8381
466,60471,8833
467,60471,11727
468,60471,12203
469,60471,12494
470,60471,13219
471,60471,14382
472,60471,14651
473,60471,14859
474,60471,16400
475,60471,16434
476,60471,17549
477,60471,17756
478,60471,18042
479,60471,19383
480,60471,20296
481,60471,21192
482,60471,21728
483,60471,21729
484,60471,22070
485,60471,26219
486,60471,26713
487,60471,27124
488,60471,27862
489,60471,28210
490,60471,29606
491,60471,30502
492,60471,30625
493,60471,31235
494,60471,32432
495,60471,33883
496,60471,34945
497,60471,35290
498,60471,35302
